ID,Negeri,Kawasan
,Melaka,Masjid Tanah
,Melaka,Alor Gajah
,Melaka,Tangga Batu
,Melaka,Bukit Katil
,Melaka,Kota Melaka
,Melaka,Jasin
,Melaka,Kuala Linggi
,Melaka,Rembia
,Melaka,Sungai Udang
,Melaka,Bachang
,Melaka,Kesidang
,Melaka,Bemban
,Melaka,Tanjung Bidara
,Melaka,Gadek
,Melaka,Pantai Kundor
,Melaka,Ayer Keroh
,Melaka,Kota Laksamana
,Melaka,Rim
,Melaka,Lendu
,Melaka,Durian Tunggal
,Melaka,Kelebang
,Melaka,Ayer Molek
,Melaka,Bandar Hilir
,Melaka,Merlimau
,Melaka,Ayer Limau
,Melaka,Machap
,Melaka,Paya Rumput
,Melaka,Bukit Baru
,Melaka,Duyong
,Melaka,Serkam
,Melaka,Taboh Naning
,Melaka,Asahan
,Melaka,Telok Mas
,Melaka,Sungai Rambai
