Id,negeri,kawasan
,Pulau Pinang,Kepala Batas
,Pulau Pinang,Tasek Gelugor
,Pulau Pinang,Bagan
,Pulau Pinang,Permatang Pauh
,Pulau Pinang,Bukit Mertajam
,Pulau Pinang,Batu Kawan
,Pulau Pinang,Nibong Tebal
,Pulau Pinang,Bukit Bendera
,Pulau Pinang,Tanjong
,Pulau Pinang,Jelutong
,Pulau Pinang,Bukit Gelugor
,Pulau Pinang,Bayan Baru
,Pulau Pinang,Balik Pulau
,Pulau Pinang,Pulau Tikus
,Pulau Pinang,Pinang Tunggal
,Pulau Pinang,Telok Ayer Tawar
,Pulau Pinang,Bagan Dalam
,Pulau Pinang,Penanti
,Pulau Pinang,Padang Lalang
,Pulau Pinang,Bukit Tambun
,Pulau Pinang,Sungai Acheh
,Pulau Pinang,Kebun Bunga
,Pulau Pinang,Komtar
,Pulau Pinang,Batu Lancang
,Pulau Pinang,Paya Terubong
,Pulau Pinang,Batu Maung
,Pulau Pinang,Telok Bahang
,Pulau Pinang,Bertam
,Pulau Pinang,Sungai Dua
,Pulau Pinang,Bagan Jermal
,Pulau Pinang,Permatang Pasir
,Pulau Pinang,Machang Bubuk
,Pulau Pinang,Bukit Tengah
,Pulau Pinang,Sungai Bakap
,Pulau Pinang,Air Putih
,Pulau Pinang,Pengkalan Kota
,Pulau Pinang,Sungai Pinang
,Pulau Pinang,Air Itam
,Pulau Pinang,Pantai Jerejak
,Pulau Pinang,Pulau Betong
,Pulau Pinang,Penaga
,Pulau Pinang,Permatang Berangan
,Pulau Pinang,Sungai Puyu
,Pulau Pinang,Seberang Jaya
,Pulau Pinang,Berapit
,Pulau Pinang,Perai
,Pulau Pinang,Jawi
,Pulau Pinang,Tanjung Bunga
,Pulau Pinang,Padang Kota
,Pulau Pinang,Datok Keramat
,Pulau Pinang,Seri Delima
,Pulau Pinang,Batu Uban
,Pulau Pinang,Bayan Lepas
