ID,Negeri,Kawasan
,Johor,Segamat
,Johor,Sekijang
,Johor,Labis
,Johor,Pagoh
,Johor,Ledang
,Johor,Bakri
,Johor,Muar
,Johor,Parit Sulong
,Johor,Ayer Hitam
,Johor,Sri Gading
,Johor,Batu Pahat
,Johor,Simpang Renggam
,Johor,Kluang
,Johor,Sembrong
,Johor,Mersing
,Johor,Tenggara
,Johor,Kota Tinggi
,Johor,Pengerang
,Johor,Tebrau
,Johor,Pasir Gudang
,Johor,Johor Bahru
,Johor,Pulai
,Johor,Gelang Patah
,Johor,Kulai
,Johor,Pontian
,Johor,Tanjong Piai
,Johor,Buloh Kasap
,Johor,Pemanis
,Johor,Tenang
,Johor,N.07 Bukit Serampang
,Johor,Gambir
,Johor,Bentayan
,Johor,Maharani
,Johor,Semerah
,Johor,Yong Peng
,Johor,Parit Yaani
,Johor,Penggaram
,Johor,Machap
,Johor,Mengkibol
,Johor,Paloh
,Johor,Endau
,Johor,Panti
,Johor,Sedili
,Johor,Penawar
,Johor,Tiram
,Johor,Johor Jaya
,Johor,Tanjong Puteri
,Johor,N.46 Pengkalan Rinting
,Johor,Skudai
,Johor,Bukit Permai
,Johor,Benut
,Johor,Pekan Nenas
,Johor,Jementah
,Johor,Kemelah
,Johor,Bekok
,Johor,Jorak
,Johor,Tangkak
,Johor,Sungai Abong
,Johor,Sungai Balang
,Johor,Sri Medan
,Johor,Semarang
,Johor,Parit Raja
,Johor,Senggarang
,Johor,Layang-Layang
,Johor,Mahkota
,Johor,Kahang
,Johor,Tenggaroh
,Johor,Pasir Raja
,Johor,Johor Lama
,Johor,Tanjong Surat
,Johor,Puteri Wangsa
,Johor,Permas
,Johor,Stulang
,Johor,Kempas
,Johor,Nusa Jaya
,Johor,Bukit Batu
,Johor,Pulai Sebatang
,Johor,Kukup
,Johor,Serom
,Johor,Bukit Naning
,Johor,Rengit
,Johor,Senai
,Johor,Sepanr
