ID,Negeri,Kawasan
,Kelantan,Tumpat
,Kelantan,Pengkalan Chepa
,Kelantan,Kota Bharu
,Kelantan,Pasir Mas
,Kelantan,Rantau Panjang
,Kelantan,Kubang Kerian
,Kelantan,Bachok
,Kelantan,Ketereh
,Kelantan,Tanah Merah
,Kelantan,Pasir Puteh
,Kelantan,Machang
,Kelantan,Jeli
,Kelantan,Kuala Krai
,Kelantan,Gua Musang
,Kelantan,Pengkalan Kubor
,Kelantan,Kijang
,Kelantan,Tanjong Mas
,Kelantan,Tendong
,Kelantan,Meranti
,Kelantan,Salor
,Kelantan,Tawang
,Kelantan,Melor
,Kelantan,Bukit Panau
,Kelantan,Selising
,Kelantan,Pulai Chondong
,Kelantan,Bukit Bunga
,Kelantan,Mengkebang
,Kelantan,Nenggiri
,Kelantan,Pasir Pekan
,Kelantan,Panchor
,Kelantan,Bunut Payong
,Kelantan,Chetok
,Kelantan,Bukit Tuku
,Kelantan,Demit
,Kelantan,Jelawat
,Kelantan,Kok Lanas
,Kelantan,Kemahang
,Kelantan,Semerak
,Kelantan,Kemuning
,Kelantan,Kuala Balah
,Kelantan,Manek Urai
,Kelantan,Galas
,Kelantan,Kelaboran
,Kelantan,Chempaka
,Kelantan,Kota Lama
,Kelantan,Pengkalan Pasir
,Kelantan,Gual Periok
,Kelantan,Pasir Tumboh
,Kelantan,Perupok
,Kelantan,Kadok
,Kelantan,Gual Ipoh
,Kelantan,Limbongan
,Kelantan,Temangan
,Kelantan,Air Lanas
,Kelantan,Guchil
,Kelantan,Paloh
,Kelantan,Wakaf Bharu
,Kelantan,Gaal
,Kelantan,Dabong
