ID,Negeri,Kawasan
1,Johor,Segamat
2,Johor,Sekijang
3,Johor,Labis
4,Johor,Pagoh
5,Johor,Ledang
6,Johor,Bakri
7,Johor,Muar
8,Johor,Parit Sulong
9,Johor,Ayer Hitam
10,Johor,Sri Gading
11,Johor,Batu Pahat
12,Johor,Simpang Renggam
13,Johor,Kluang
14,Johor,Sembrong
15,Johor,Mersing
16,Johor,Tenggara
17,Johor,Kota Tinggi
18,Johor,Pengerang
19,Johor,Tebrau
20,Johor,Pasir Gudang
21,Johor,Johor Bahru
22,Johor,Pulai
23,Johor,Gelang Patah
24,Johor,Kulai
25,Johor,Pontian
26,Johor,Tanjong Piai
27,Johor,Buloh Kasap
28,Johor,Pemanis
29,Johor,Tenang
30,Johor,N.07�Bukit Serampang
31,Johor,Gambir
32,Johor,Bentayan
33,Johor,Maharani
34,Johor,Semerah
35,Johor,Yong Peng
36,Johor,Parit Yaani
37,Johor,Penggaram
38,Johor,Machap
39,Johor,Mengkibol
40,Johor,Paloh
41,Johor,Endau
42,Johor,Panti
43,Johor,Sedili
44,Johor,Penawar
45,Johor,Tiram
46,Johor,Johor Jaya
47,Johor,Tanjong Puteri
48,Johor,N.46�Pengkalan Rinting
49,Johor,Skudai
50,Johor,Bukit Permai
51,Johor,Benut
52,Johor,Pekan Nenas
53,Johor,Jementah
54,Johor,Kemelah
55,Johor,Bekok
56,Johor,Jorak
57,Johor,Tangkak
58,Johor,Sungai Abong
59,Johor,Sungai Balang
60,Johor,Sri Medan
61,Johor,Semarang
62,Johor,Parit Raja
63,Johor,Senggarang
64,Johor,Layang-Layang
65,Johor,Mahkota
66,Johor,Kahang
67,Johor,Tenggaroh
68,Johor,Pasir Raja
69,Johor,Johor Lama
70,Johor,Tanjong Surat
71,Johor,Puteri Wangsa
72,Johor,Permas
73,Johor,Stulang
74,Johor,Kempas
75,Johor,Nusa Jaya
76,Johor,Bukit Batu
77,Johor,Pulai Sebatang
78,Johor,Kukup
79,Johor,Serom
80,Johor,Bukit Naning
81,Johor,Rengit
82,Johor,Senai
83,Kedah,Langkawi
84,Kedah,Jerlun
85,Kedah,Kubang Pasu
86,Kedah,Padang Terap
87,Kedah,Pokok Sena
88,Kedah,Alor Setar
89,Kedah,Kuala Kedah
90,Kedah,Pendang
91,Kedah,Jerai
92,Kedah,Sik
93,Kedah,Merbok
94,Kedah,Sungai Petani
95,Kedah,Baling
96,Kedah,Padang Serai
97,Kedah,Bandar Baharu
98,Kedah,Ayer Hangat
99,Kedah,Kota Siputeh
100,Kedah,Bukit Kayu Hitam
101,Kedah,Kuala Nerang
102,Kedah,Bukit Lada
103,Kedah,Bakar Bata
104,Kedah,Anak Bukit
105,Kedah,Tokai
106,Kedah,Sungai Limau
107,Kedah,Belantek
108,Kedah,Bukit Selambau
109,Kedah,Pantai Merdeka
110,Kedah,Bayu
111,Kedah,Merbau Pulas
112,Kedah,Kulim
113,Kedah,Kuah
114,Kedah,Ayer Hitam
115,Kedah,Jitra
116,Kedah,Pedu
117,Kedah,Bukit Pinang
118,Kedah,Kota Darul Aman
119,Kedah,Kubang Rotan
120,Kedah,Sungai Tiang
121,Kedah,Guar Chempedak
122,Kedah,Jeneri
123,Kedah,Tanjong Dawai
124,Kedah,Bakar Arang
125,Kedah,Kupang
126,Kedah,Lunas
127,Kedah,Bandar Baharu
128,Kedah,Derga
129,Kedah,Alor Mengkudu
130,Kedah,Pengkalan Kundor
131,Kedah,Gurun
132,Kedah,Sidam
133,Kedah,Kuala Ketil
134,Kelantan,Tumpat
135,Kelantan,Pengkalan Chepa
136,Kelantan,Kota Bharu
137,Kelantan,Pasir Mas
138,Kelantan,Rantau Panjang
139,Kelantan,Kubang Kerian
140,Kelantan,Bachok
141,Kelantan,Ketereh
142,Kelantan,Tanah Merah
143,Kelantan,Pasir Puteh
144,Kelantan,Machang
145,Kelantan,Jeli
146,Kelantan,Kuala Krai
147,Kelantan,Gua Musang
148,Kelantan,Pengkalan Kubor
149,Kelantan,Kijang
150,Kelantan,Tanjong Mas
151,Kelantan,Tendong
152,Kelantan,Meranti
153,Kelantan,Salor
154,Kelantan,Tawang
155,Kelantan,Melor
