ID,Negeri,Kawasan
,Negeri Sembilan,Jelebu
,Negeri Sembilan,Jempol
,Negeri Sembilan,Seremban
,Negeri Sembilan,Kuala Pilah
,Negeri Sembilan,Rasah
,Negeri Sembilan,Rembau
,Negeri Sembilan,Telok Kemang
,Negeri Sembilan,Tampin
,Negeri Sembilan,Chennah
,Negeri Sembilan,Serting
,Negeri Sembilan,Lenggeng
,Negeri Sembilan,Juasseh
,Negeri Sembilan,Labu
,Negeri Sembilan,Paroi
,Negeri Sembilan,Chuah
,Negeri Sembilan,Gemas
,Negeri Sembilan,Pertang
,Negeri Sembilan,Palong
,Negeri Sembilan,Nilai
,Negeri Sembilan,Seri Menanti
,Negeri Sembilan,Bukit Kepayang
,Negeri Sembilan,Chembong
,Negeri Sembilan,Lukut
,Negeri Sembilan,Gemencheh
,Negeri Sembilan,Sungai Lui
,Negeri Sembilan,Jeram Padang
,Negeri Sembilan,Lobak
,Negeri Sembilan,Senaling
,Negeri Sembilan,Rahang
,Negeri Sembilan,Rantau
,Negeri Sembilan,Bagan Pinang
,Negeri Sembilan,Repah
,Negeri Sembilan,Klawang
,Negeri Sembilan,Bahau
,Negeri Sembilan,Temiang
,Negeri Sembilan,Pilah
,Negeri Sembilan,Mambau
,Negeri Sembilan,Kota
,Negeri Sembilan,Linggi
,Negeri Sembilan,Ampangan
,Negeri Sembilan,Sikamat
,Negeri Sembilan,Johol
,Negeri Sembilan,Senawang
,Negeri Sembilan,Port Dickson
