ID,Negeri,Kawasan
,Pahang,Cameron Highlands
,Pahang,Lipis
,Pahang,Raub
,Pahang,Jerantut
,Pahang,Indera Mahkota
,Pahang,Kuantan
,Pahang,Paya Besar
,Pahang,Pekan
,Pahang,Maran
,Pahang,Kuala Krau
,Pahang,Temerloh
,Pahang,Bentong
,Pahang,Bera
,Pahang,Rompin
,Pahang,Tanah Rata
,Pahang,Padang Tengku
,Pahang,Batu Talam
,Pahang,Tahan
,Pahang,Beserah
,Pahang,Teruntum
,Pahang,Sungai Lembing
,Pahang,Pulau Manis
,Pahang,Luit
,Pahang,Jenderak
,Pahang,Mentakab
,Pahang,Bilut
,Pahang,Guai
,Pahang,Bukit Ibam
,Pahang,Jelai
,Pahang,Cheka
,Pahang,Tras
,Pahang,Damak
,Pahang,Semambu
,Pahang,Tanjung Lumpur
,Pahang,Lepar
,Pahang,Peramu Jaya
,Pahang,Kuala Sentul
,Pahang,Kerdau
,Pahang,Lanchang
,Pahang,Ketari
,Pahang,Triang
,Pahang,Muadzam Shah
,Pahang,Pelangai
,Pahang,Benta
,Pahang,Dong
,Pahang,Pulau Tawar
,Pahang,Chini
,Pahang,Inderapura
,Pahang,Panching
,Pahang,Bebar
,Pahang,Chenor
,Pahang,Jengka
,Pahang,Kuala Semantan
,Pahang,Sabai
,Pahang,Kemayan
,Pahang,Tioman
