ID,Negeri,Kawasan
,Sarawak,Mas Gading
,Sarawak,Santubong
,Sarawak,Petra Jaya
,Sarawak,Bandar Kuching
,Sarawak,Stampin
,Sarawak,Kota Samarahan
,Sarawak,Mambong
,Sarawak,Serian
,Sarawak,Batang Sadong
,Sarawak,Batang Lupar
,Sarawak,Sri Aman
,Sarawak,Lubok Antu
,Sarawak,Betong
,Sarawak,Saratok
,Sarawak,Tanjung Manis
,Sarawak,Igan
,Sarawak,Sarikei
,Sarawak,Julau
,Sarawak,Kanowit
,Sarawak,Lanang
,Sarawak,Sibu
,Sarawak,Mukah
,Sarawak,Selangau
,Sarawak,Kapit
,Sarawak,Hulu Rajang
,Sarawak,Bintulu
,Sarawak,Sibuti
,Sarawak,Miri
,Sarawak,Baram
,Sarawak,Limbang
,Sarawak,Lawas
,Sarawak,Opar
,Sarawak,Pantai Damai
,Sarawak,Tupong
,Sarawak,Padungan
,Sarawak,Batu Lintang
,Sarawak,Asajaya
,Sarawak,Bengoh
,Sarawak,Tebedu
,Sarawak,Sadong Jaya
,Sarawak,Sebuyau
,Sarawak,Balai Ringin
,Sarawak,Engkilili
,Sarawak,Saribas
,Sarawak,Kalaka
,Sarawak,Belawai
,Sarawak,Daro
,Sarawak,Repok
,Sarawak,Pakan
,Sarawak,Ngemah
,Sarawak,Bukit Assek
,Sarawak,Bawang Assan
,Sarawak,Dalat
,Sarawak,Tamin
,Sarawak,Pelagus
,Sarawak,Baleh
,Sarawak,Kemena
,Sarawak,Bekenu
,Sarawak,Piasau
,Sarawak,Marudi
,Sarawak,Bukit Kota
,Sarawak,Bakelalan
,Sarawak,Tasik Biru
,Sarawak,Demak Laut
,Sarawak,Samariang
,Sarawak,Pending
,Sarawak,Kota Sentosa
,Sarawak,Muara Tuang
,Sarawak,Tarat
,Sarawak,Kedup
,Sarawak,Simunjan
,Sarawak,Lingga
,Sarawak,Bukit Begunan
,Sarawak,Batang Ai
,Sarawak,Layar
,Sarawak,Krian
,Sarawak,Semop
,Sarawak,Jamoreng
,Sarawak,Meradong
,Sarawak,Meluan
,Sarawak,Machan
,Sarawak,Dudong
,Sarawak,Pelawan
,Sarawak,Balingian
,Sarawak,Kakus
,Sarawak,Katibas
,Sarawak,Belaga
,Sarawak,Kidurong
,Sarawak,Lambir
,Sarawak,Pujut
,Sarawak,Telang Usan
,Sarawak,Batu Danau
,Sarawak,Bukit Sari
,Sarawak,Tanjung Datu
,Sarawak,Satok
,Sarawak,Batu Kawa
,Sarawak,Beting Maro
,Sarawak,Simanggang
,Sarawak,Bukit Saban
,Sarawak,Nangka
,Sarawak,Jepak
,Sarawak,Senadin
